City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
189,Vangaindrano,-23.35,47.6,74.01,91,38,2.55,scattered clouds,MG
190,Shobara,34.85,133.0167,43.65,52,68,13.6,broken clouds,JP
191,Kailua,21.4022,-157.7394,80.58,62,17,4.0,few clouds,US
192,Pevek,69.7008,170.3133,-19.95,96,38,2.46,scattered clouds,RU
193,Ekibastuz,51.6667,75.3667,33.04,79,7,18.19,clear sky,KZ
194,Gambiran,-6.7988,111.4951,77.04,86,100,6.35,overcast clouds,ID
195,Boa Vista,2.8197,-60.6733,78.78,78,75,2.3,broken clouds,BR
196,Mantua,45.1667,10.7833,42.08,60,14,3.0,few clouds,IT
197,Vardo,70.3705,31.1107,26.96,77,100,11.81,overcast clouds,NO
198,Lagoa,39.05,-27.9833,61.25,86,100,15.14,overcast clouds,PT
199,Chuy,-33.6971,-53.4616,70.68,98,100,4.32,light rain,UY
200,Biak,-0.9131,122.8766,80.26,75,100,1.95,overcast clouds,ID
201,Bandarbeyla,9.4942,50.8122,75.22,74,56,11.63,broken clouds,SO
202,Sovetskiy,61.3614,63.5842,-2.22,90,100,10.83,overcast clouds,RU
203,Uryupinsk,50.8047,42.0138,25.61,93,95,13.94,overcast clouds,RU
204,Port Blair,11.6667,92.75,75.24,88,40,2.3,mist,IN
205,Orahovac,42.3994,20.6547,35.92,99,100,5.17,snow,XK
206,Coihaique,-45.5752,-72.0662,50.61,81,0,4.61,clear sky,CL
207,Mar Del Plata,-38.0023,-57.5575,69.1,93,100,7.0,overcast clouds,AR
208,Zhigalovo,54.8097,105.1578,20.73,96,100,4.18,overcast clouds,RU
209,Isangel,-19.55,169.2667,86.11,74,20,4.61,few clouds,VU
210,Kodiak,57.79,-152.4072,38.71,70,75,12.66,broken clouds,US
211,Brighton,50.8284,-0.1395,40.32,80,100,15.01,overcast clouds,GB
212,Griffith,41.5284,-87.4237,66.13,69,100,19.57,overcast clouds,US
213,Skegness,53.1436,0.3363,41.29,78,24,17.67,few clouds,GB
214,Mastic Beach,40.7668,-72.8521,41.2,77,0,3.44,clear sky,US
215,Peleduy,59.6289,112.7406,19.06,94,100,9.84,light snow,RU
216,Torbat-E Jam,35.244,60.6225,52.79,65,100,3.38,overcast clouds,IR
217,Chaves,33.3834,-104.4505,66.61,9,0,6.91,clear sky,US
218,Luderitz,-26.6481,15.1594,67.03,77,3,4.79,clear sky,NA
219,Cabedelo,-6.9811,-34.8339,75.87,85,95,9.93,light rain,BR
220,Bairiki,1.3292,172.9752,86.0,66,20,13.8,few clouds,KI
221,Marsabit,2.3284,37.9899,69.19,31,54,11.77,broken clouds,KE
222,Tatarsk,55.219,75.9828,33.42,92,100,20.2,overcast clouds,RU
223,Sinnamary,5.3833,-52.95,75.06,93,100,6.85,overcast clouds,GF
224,Chhaprauli,29.2167,77.1833,57.24,64,100,6.62,overcast clouds,IN
225,Srednekolymsk,67.45,153.6833,-13.77,95,73,4.38,broken clouds,RU
226,Watertown,42.3709,-71.1828,38.95,55,0,11.5,clear sky,US
227,Nadym,65.5333,72.5167,-32.37,100,100,7.0,overcast clouds,RU
228,Misratah,32.3754,15.0925,56.75,71,2,15.52,clear sky,LY
