City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Ellensburg,US,2022-03-03 17:27:36,46.9965,-120.5479,49.95,70,0,20.71
179,Lavrentiya,RU,2022-03-03 17:30:52,65.5833,-171.0,2.84,94,36,8.28
180,Gamba,GA,2022-03-03 17:30:52,-2.65,10.0,81.03,81,82,8.12
181,Asau,RO,2022-03-03 17:30:53,46.4333,26.4,34.95,98,100,0.63
182,Thouars,FR,2022-03-03 17:30:53,46.976,-0.2151,54.72,85,98,2.59
183,Atar,MR,2022-03-03 17:30:53,20.5169,-13.0499,82.87,11,0,18.84
184,Pacific Grove,US,2022-03-03 17:31:54,36.6177,-121.9166,58.57,90,100,3.44
185,Lompoc,US,2022-03-03 17:31:54,34.6391,-120.4579,65.57,69,75,5.99
186,Tangier,MA,2022-03-03 17:30:21,35.7806,-5.8137,65.44,100,75,16.11
187,Taltal,CL,2022-03-03 17:30:29,-25.4,-70.4833,70.25,75,28,5.26
188,San Carlos,VE,2022-03-03 17:29:03,9.6612,-68.5827,98.74,30,67,3.51
189,Biak,ID,2022-03-03 17:31:54,-0.9131,122.8766,77.05,82,99,1.9
190,Isangel,VU,2022-03-03 17:31:55,-19.55,169.2667,79.23,85,35,4.03
191,Yeppoon,AU,2022-03-03 17:31:55,-23.1333,150.7333,83.98,86,46,4.14
192,Honningsvag,NO,2022-03-03 17:31:56,70.9821,25.9704,27.93,76,100,27.54
193,Vavatenina,MG,2022-03-03 17:31:56,-17.4667,49.2,73.49,99,99,2.08
194,Panalingaan,PH,2022-03-03 17:31:56,8.7842,117.4231,78.84,84,35,2.33
195,Constitucion,CL,2022-03-03 17:31:57,-35.3333,-72.4167,68.54,71,35,7.92
196,Sinjar,IQ,2022-03-03 17:31:57,36.3209,41.8754,50.0,65,68,23.49
197,Tuatapere,NZ,2022-03-03 17:31:58,-46.1333,167.6833,57.81,92,100,2.73
198,Bandrele,YT,2022-03-03 17:31:58,-12.9067,45.1914,78.55,83,0,10.36
199,Bahia Honda,CU,2022-03-03 17:31:58,22.9036,-83.1592,82.0,53,3,10.54
200,Kolokani,ML,2022-03-03 17:31:59,13.5728,-8.0339,91.74,14,93,12.97
201,Port Lincoln,AU,2022-03-03 17:31:59,-34.7333,135.8667,65.01,84,100,16.2
202,Buraydah,SA,2022-03-03 17:30:49,26.326,43.975,86.45,17,100,11.32
203,Road Town,VG,2022-03-03 17:30:53,18.4167,-64.6167,80.64,83,40,10.36
